iter	MultiClass
0	1.012252972
1	0.9374874778
2	0.8725556093
3	0.8134466808
4	0.7608812634
5	0.709846279
6	0.665962319
7	0.6253590604
8	0.5890565386
9	0.5576196174
10	0.5286349737
11	0.4981523208
12	0.4723981166
13	0.4455491324
14	0.4248319637
15	0.4024165673
16	0.380853411
17	0.3637429578
18	0.3450756652
19	0.3278727755
20	0.3129066753
21	0.2990217865
22	0.2849946782
23	0.2723976077
24	0.2599681136
25	0.2477594331
26	0.2372096796
27	0.2254856077
28	0.2154230358
29	0.2064799267
30	0.197149378
31	0.1887645244
32	0.1811645054
33	0.1735753557
34	0.1675079648
35	0.1610460466
36	0.1548243436
37	0.1480345062
38	0.1417165033
39	0.1355716652
40	0.1299116675
41	0.1240547696
42	0.1196525589
43	0.1144141638
44	0.1096863076
45	0.1052833274
46	0.1012002197
47	0.09701450173
48	0.09282319516
49	0.08954755948
50	0.08622380549
51	0.08349066951
52	0.08048098324
53	0.07747790198
54	0.07500926276
55	0.0723536766
56	0.06953527507
57	0.06720514404
58	0.06487371076
59	0.06272246773
60	0.0603743635
61	0.05828372181
62	0.05641253374
63	0.05499701659
64	0.05338161237
65	0.05188245389
66	0.04978311753
67	0.04782669784
68	0.04615825427
69	0.0449369649
70	0.04360718791
71	0.0422815857
72	0.04081647703
73	0.03950824884
74	0.03845645833
75	0.03732416695
76	0.0363670715
77	0.03505402228
78	0.03405301976
79	0.03310272998
80	0.0320334817
81	0.03129992212
82	0.03033349448
83	0.02952537685
84	0.02878156657
85	0.02797589995
86	0.02729971218
87	0.02661003157
88	0.02580625943
89	0.02518319995
90	0.0245170638
91	0.02381413404
92	0.02305113565
93	0.02251158032
94	0.02192469728
95	0.02145704071
96	0.02103782353
97	0.02045968682
98	0.02006531494
99	0.01946990816
100	0.01907075348
101	0.01873522338
102	0.01826536917
103	0.01788218798
104	0.01753938115
105	0.01715503883
106	0.0168192824
107	0.01654984503
108	0.01618049835
109	0.01584970405
110	0.01546331563
111	0.01528690239
112	0.01502668587
113	0.01480985449
114	0.014593662
115	0.01423190923
116	0.01385170884
117	0.01359112087
118	0.01333905122
119	0.01307513352
120	0.01282439939
121	0.01258004738
122	0.01236488942
123	0.01213237563
124	0.01186631375
125	0.0116943414
126	0.01143357119
127	0.0111628579
128	0.01094224956
129	0.01074705374
130	0.01057869026
131	0.01041520658
132	0.01022466833
133	0.01001181874
134	0.009858758682
135	0.009679421555
136	0.009479808089
137	0.009311565576
138	0.009170887325
139	0.009036452082
140	0.008901501328
141	0.00873146591
142	0.008558825401
143	0.008450524013
144	0.008336307782
145	0.008222719517
146	0.008071393396
147	0.007945587159
148	0.00780544272
149	0.007659036708
150	0.007518676537
151	0.007424455051
152	0.007343932733
153	0.007220901941
154	0.007154050467
155	0.00703453508
156	0.006912186919
157	0.006810214374
158	0.00669602803
159	0.006605595978
160	0.006541174263
161	0.00644466078
162	0.006384567749
163	0.006284068071
164	0.006187431927
165	0.006089863342
166	0.006055626715
167	0.005963254254
168	0.005873423435
169	0.005807225864
170	0.005747801347
171	0.005681166564
172	0.005588041017
173	0.005507953046
174	0.005424395468
175	0.005347439455
176	0.005273472761
177	0.005227212334
178	0.005177858577
179	0.005108155513
180	0.005038131579
181	0.00497254616
182	0.004903848297
183	0.004838424878
184	0.004798157651
185	0.004738685408
186	0.004675339414
187	0.004617603303
188	0.004561204225
189	0.00450523706
190	0.00448679708
191	0.004467719205
192	0.004413845309
193	0.004361186655
194	0.004309059735
195	0.004258727131
196	0.004227700543
197	0.004207401149
198	0.004159799963
199	0.004112052734
200	0.00406638854
201	0.004021936616
202	0.003992026432
203	0.00394564617
204	0.003901560037
205	0.003859209765
206	0.003818957818
207	0.00377884564
208	0.003740188485
209	0.003700980952
210	0.00368162067
211	0.003644819121
212	0.003607581213
213	0.003572190299
214	0.003537436611
215	0.003502767889
216	0.003469307257
217	0.003436465544
218	0.003403189449
219	0.003370265689
220	0.003338186912
221	0.003307702217
222	0.003276759584
223	0.003245928357
224	0.003217050828
225	0.003188157556
226	0.003160273362
227	0.003150541749
228	0.003139481307
229	0.003110532061
230	0.003083342508
231	0.003057199042
232	0.003030590416
233	0.003004058966
234	0.002979191154
235	0.002953866169
236	0.002929803584
237	0.002914128315
238	0.002890681452
239	0.002867604508
240	0.002847510867
241	0.002825097861
242	0.002803031177
243	0.002781302983
244	0.002759297469
245	0.002738233072
246	0.002715583108
247	0.002693931501
248	0.002684706304
249	0.002664722304
250	0.002644286338
251	0.002624156438
252	0.002604660789
253	0.0025858294
254	0.002567266491
255	0.0025485935
256	0.002530187471
257	0.002512404093
258	0.002494192499
259	0.002476903986
260	0.002465258145
261	0.002448314983
262	0.002439097141
263	0.002421402877
264	0.002413646163
265	0.002396418029
266	0.002388202034
267	0.002372294735
268	0.002356273625
269	0.002340784872
270	0.002323703143
271	0.002308270528
272	0.002295974488
273	0.002289868661
274	0.002275220994
275	0.002270039152
276	0.002255637756
277	0.002240367977
278	0.002225252935
279	0.002210841597
280	0.00219687559
281	0.002183328546
282	0.00216896133
283	0.002154642543
284	0.002148299099
285	0.002134997418
286	0.002122231254
287	0.002108639325
288	0.00209617712
289	0.002083101748
290	0.002070430717
291	0.002058149259
292	0.00204627031
293	0.002034527762
294	0.002022919283
295	0.002011442595
296	0.002005646607
297	0.001994033117
298	0.00198288033
299	0.001971851677
300	0.001960702351
301	0.001949075358
302	0.00193816298
303	0.001927624617
304	0.00191720031
305	0.001906589457
306	0.001899453462
307	0.001889328661
308	0.001879311308
309	0.001873356861
310	0.001863277259
311	0.001853529589
312	0.001843883483
313	0.001833912369
314	0.001824429183
315	0.001815081794
316	0.001805829805
317	0.001796671761
318	0.001787606236
319	0.001785194734
320	0.001776241253
321	0.001766977177
322	0.00175686342
323	0.00174735226
324	0.001738380119
325	0.001729684836
326	0.001720457276
327	0.001711328369
328	0.001705484841
329	0.001697291876
330	0.00168893951
331	0.00168071794
332	0.001672761123
333	0.001664109696
334	0.001658477735
335	0.001650722817
336	0.001642691465
337	0.001634738308
338	0.001627202539
339	0.001618995261
340	0.001611600428
341	0.00160410284
342	0.00159684328
343	0.001589649357
344	0.001582520181
345	0.001575246857
346	0.001569947023
347	0.001562956819
348	0.001556063755
349	0.001549231426
350	0.001542146241
351	0.001535126038
352	0.001527469001
353	0.00152088364
354	0.001514355006
355	0.001509041739
356	0.00150246095
357	0.001495937698
358	0.001489471231
359	0.001483172471
360	0.001476961784
361	0.001470657758
362	0.001464551344
363	0.001458213611
364	0.001452209743
365	0.001446255268
366	0.001440349575
367	0.001434353773
368	0.001427947585
369	0.001422188604
370	0.001416476037
371	0.001410544068
372	0.001404662062
373	0.001403145795
374	0.001397548653
375	0.00139203006
376	0.001386299592
377	0.001380708227
378	0.001375321764
379	0.001369370192
380	0.001363822534
381	0.00135856474
382	0.001355377065
383	0.001349941983
384	0.001344670207
385	0.001339407408
386	0.001334099567
387	0.0013285372
388	0.001325984067
389	0.001321011458
390	0.001316076132
391	0.001310610262
392	0.001305606636
393	0.001300784243
394	0.001295997467
395	0.001291245911
396	0.001285977868
397	0.001281297898
398	0.001276435121
399	0.001271824178
400	0.001266538451
401	0.001261998717
402	0.001257961098
403	0.001253480723
404	0.001249000979
405	0.00124563746
406	0.001241243793
407	0.001236881122
408	0.00123254912
409	0.001230243036
410	0.001228068963
411	0.001223797072
412	0.001219455504
413	0.001217852546
414	0.00121314612
415	0.001209343605
416	0.001205168895
417	0.001201477967
418	0.001196897205
419	0.001193892868
420	0.001189658998
421	0.001185643257
422	0.001183828761
423	0.001179851694
424	0.001175901378
425	0.001171977543
426	0.001169093208
427	0.001165122736
428	0.001162191718
429	0.001158028111
430	0.001154131646
431	0.00115017165
432	0.001149092717
433	0.001145343374
434	0.0011415317
435	0.001137745588
436	0.001135035653
437	0.001131204378
438	0.001127126635
439	0.00112613561
440	0.001122363317
441	0.001118783286
442	0.001115591341
443	0.001112025947
444	0.001108510311
445	0.001104936724
446	0.001101465852
447	0.001098016825
448	0.001095333091
449	0.001091503494
450	0.001090219836
451	0.001086838599
452	0.001083478381
453	0.001079983014
454	0.001076510494
455	0.00107321374
456	0.001069862441
457	0.001066580169
458	0.001065228301
459	0.001061926404
460	0.001058718028
461	0.00105513279
462	0.001051964552
463	0.001048743853
